call,spy,iv,sofr1m,sofr1m50,sofr3m,sofr3m50,sofr3m200,sofr6m,sofr6m50,sofr6m200,sofr12m,sofr12m50,sofr12m200,baseprice,50price,100price,250price,500price,750price,1000price,sofr12mprice,sofr6mprice,sofr3mprice,sofr1mprice,hvol6price,hvol3price,hvol1price,ivolprice,error
5.46,421.82,12.576,5.17424,4.9766,5.27638,5.04878,4.4049,5.28528,5.02599,4.6029,5.0627,4.77143,4.6657,7.4,6.87,6.97,7.11,7.4,7.77,8.22,7.43,7.46,7.44,7.4,10.52,9.5,8.43,7.4,1.9400000000000004
7.45,427.92,12.57,5.14067,4.98357,5.23034,5.05543,4.4174,5.24547,5.03324,4.6136,5.02697,4.77755,4.674,7.32,6.78,6.89,7.03,7.32,7.74,8.19,7.35,7.38,7.35,7.32,10.42,9.4,8.34,7.32,-0.1299999999999999
7.67,427.1,12.515,5.15002,4.99045,5.25323,5.06296,4.43,5.28773,5.0431,4.6245,5.09254,4.78851,4.6826,7.24,6.71,6.81,6.97,7.24,7.63,8.13,7.28,7.32,7.28,7.24,10.33,9.29,8.27,7.24,-0.4299999999999997
6.64,428.03,12.16,5.13842,4.9974,5.23884,5.0716,4.4424,5.27695,5.05544,4.6353,5.09477,4.80373,4.6911,7.15,6.63,6.71,6.92,7.15,7.57,8.06,7.18,7.22,7.18,7.15,10.24,9.19,8.18,6.23,0.5100000000000007
6.64,426.55,11.923,5.13117,5.00385,5.23808,5.07854,4.4546,5.27788,5.06426,4.6458,5.10379,4.81379,4.6994,7.08,6.55,6.63,6.81,7.08,7.48,8.01,7.11,7.13,7.11,7.08,10.13,9.14,8.1,6.14,0.4400000000000004
6.63,429.13,11.756,5.14638,5.01063,5.25059,5.08559,4.4669,5.29207,5.07281,4.6566,5.14618,4.82343,4.7081,7.0,6.47,6.55,6.74,7.0,7.45,7.96,7.04,7.06,7.04,6.99,10.04,9.03,8.02,6.08,0.3700000000000001
6.87,429.9,11.99,5.14562,5.01748,5.24154,5.09261,4.4791,5.26715,5.08084,4.6672,5.10273,4.83159,4.7165,6.95,6.39,6.46,6.68,6.95,7.39,7.88,6.97,7.0,6.97,6.94,9.94,8.93,7.93,6.02,0.08000000000000007
8.43,433.8,12.204,5.14763,5.02438,5.24938,5.09943,4.4911,5.28611,5.08857,4.6775,5.14817,4.83986,4.7248,6.86,6.33,6.4,6.59,6.86,7.3,7.85,6.9,6.94,6.9,6.85,9.83,8.84,7.86,5.97,-1.5699999999999994
9.8,436.66,12.508,5.14699,5.03111,5.25432,5.10611,4.5032,5.29464,5.09606,4.688,5.15873,4.84803,4.7332,6.81,6.24,6.3,6.51,6.81,7.24,7.78,6.83,6.85,6.84,6.81,9.72,8.76,7.77,6.81,-2.990000000000001
9.56,437.18,12.56,5.10188,5.03659,5.21811,5.11172,4.5148,5.26695,5.10258,4.6981,5.15284,4.85634,4.7414,6.72,6.15,6.25,6.42,6.72,7.16,7.73,6.77,6.79,6.77,6.72,9.61,8.65,7.68,6.72,-2.8400000000000007
12.51,442.6,12.776,5.09059,5.04181,5.21617,5.11771,4.5263,5.28853,5.11089,4.7083,5.2194,4.86842,4.7499,6.66,6.08,6.15,6.34,6.66,7.12,7.69,6.68,6.72,6.68,6.66,9.52,8.53,7.6,6.66,-5.85
11.87,439.46,13.056,5.07629,5.04668,5.20684,5.12395,4.5379,5.28937,5.12046,4.7185,5.23032,4.88326,4.7583,6.58,6.0,6.07,6.26,6.58,7.03,7.65,6.6,6.64,6.6,6.58,9.43,8.44,7.53,6.58,-5.289999999999999
10.5,437.18,12.69,5.07713,5.05154,5.22025,5.13027,4.5492,5.3086,5.12991,4.7285,5.26658,4.89783,4.7667,6.44,5.84,5.91,6.13,6.44,6.89,7.48,6.46,6.48,6.46,6.43,9.19,8.27,7.36,6.44,-4.06
9.41,434.94,12.449,5.08247,5.05608,5.22913,5.13568,4.5605,5.31173,5.13744,4.7383,5.24977,4.90883,4.7748,6.36,5.75,5.83,6.05,6.36,6.85,7.45,6.4,6.42,6.4,6.36,9.08,8.18,7.27,5.51,-3.05
