put,spy,iv,sofr1m,sofr1m50,sofr3m,sofr3m50,sofr3m200,sofr6m,sofr6m50,sofr6m200,sofr12m,sofr12m50,sofr12m200,baseprice,5price,10price,50price,100price,121price,sofr12mprice,sofr6mprice,sofr3mprice,sofr1mprice,hvol6price,hvol3price,hvol1price,error
36.51,421.82,12.576,5.17424,4.9766,5.27638,5.04878,4.4049,5.28528,5.02599,4.6029,5.0627,4.77143,4.6657,41.16,61.79,53.23,41.16,38.48,37.97,41.03,40.94,41.03,41.17,41.16,39.65,38.16,4.649999999999999
29.48,427.92,12.57,5.14067,4.98357,5.23034,5.05543,4.4174,5.24547,5.03324,4.6136,5.02697,4.77755,4.674,41.13,61.7,53.17,41.13,38.45,37.94,41.03,40.91,41.03,41.15,41.13,39.64,38.13,11.650000000000002
29.23,427.1,12.515,5.15002,4.99045,5.25323,5.06296,4.43,5.28773,5.0431,4.6245,5.09254,4.78851,4.6826,41.11,61.63,53.14,41.11,38.43,37.9,41.01,40.9,40.99,41.13,41.11,39.63,38.14,11.879999999999999
27.8,428.03,12.16,5.13842,4.9974,5.23884,5.0716,4.4424,5.27695,5.05544,4.6353,5.09477,4.80373,4.6911,41.08,61.55,53.07,41.08,38.42,37.89,40.98,40.86,40.96,41.09,41.08,39.6,38.1,13.279999999999998
26.96,426.55,11.923,5.13117,5.00385,5.23808,5.07854,4.4546,5.27788,5.06426,4.6458,5.10379,4.81379,4.6994,41.05,61.47,53.02,41.05,38.4,37.87,40.97,40.85,40.96,41.07,41.05,39.58,38.11,14.089999999999996
24.73,429.13,11.756,5.14638,5.01063,5.25059,5.08559,4.4669,5.29207,5.07281,4.6566,5.14618,4.82343,4.7081,41.04,61.39,52.97,41.04,38.35,37.85,40.92,40.82,40.92,41.06,41.04,39.57,38.08,16.31
22.6,429.9,11.99,5.14562,5.01748,5.24154,5.09261,4.4791,5.26715,5.08084,4.6672,5.10273,4.83159,4.7165,41.0,61.31,52.92,41.0,38.33,37.86,40.9,40.79,40.9,41.02,41.0,39.53,38.06,18.4
19.35,433.8,12.204,5.14763,5.02438,5.24938,5.09943,4.4911,5.28611,5.08857,4.6775,5.14817,4.83986,4.7248,40.98,61.23,52.86,40.98,38.3,37.81,40.88,40.78,40.85,41.0,40.98,39.53,38.06,21.629999999999995
21.5,436.66,12.508,5.14699,5.03111,5.25432,5.10611,4.5032,5.29464,5.09606,4.688,5.15873,4.84803,4.7332,40.94,61.15,52.82,40.94,38.32,37.8,40.84,40.75,40.84,40.96,40.94,39.48,38.03,19.439999999999998
21.89,437.18,12.56,5.10188,5.03659,5.21811,5.11172,4.5148,5.26695,5.10258,4.6981,5.15284,4.85634,4.7414,40.91,61.06,52.76,40.91,38.28,37.78,40.81,40.72,40.81,40.93,40.91,39.47,38.02,19.019999999999996
