Date,SPY US 11/17/23 P455 Equity,SPY US Equity,Implied Vol,TSFR1M Index - SOFR 1M,SMAVG (50) - 1M,SMAVG (100) -1M,SMAVG (200) - 1M,TSFR3M Index - SOFR 3M,SMAVG (50) -3M,SMAVG (100) - 3M,SMAVG (200) - 3M,TSFR6M Index - SOFR 6M,SMAVG (50) - 6M,SMAVG (100) -6M,SMAVG (200) - 6M,TSFR12M Index - SOFR 12M,SMAVG (50) -12M,SMAVG (100) -12M,SMAVG (200) -12M
6/1/23,36.51,421.82,12.576,5.17424,4.9766,4.79509,4.15555,5.27638,5.04878,4.91876,4.40492,5.28528,5.02599,4.98671,4.60286,5.0627,4.77143,4.88639,4.6657
6/2/23,29.48,427.92,12.57,5.14067,4.98357,4.8022,4.16977,5.23034,5.05543,4.92481,4.41744,5.24547,5.03324,4.99114,4.6136,5.02697,4.77755,4.88812,4.67398
6/6/23,29.23,427.1,12.515,5.15002,4.99045,4.80935,4.18404,5.25323,5.06296,4.931,4.43002,5.28773,5.0431,4.9959,4.6245,5.09254,4.78851,4.89036,4.68263
6/8/23,27.8,428.03,12.16,5.13842,4.9974,4.81596,4.19823,5.23884,5.0716,4.93681,4.4424,5.27695,5.05544,5.00043,4.63528,5.09477,4.80373,4.89264,4.69114
6/9/23,26.96,426.55,11.923,5.13117,5.00385,4.82244,4.21238,5.23808,5.07854,4.94287,4.45459,5.27788,5.06426,5.00529,4.64581,5.10379,4.81379,4.89546,4.69937
6/12/23,24.73,429.13,11.756,5.14638,5.01063,4.82908,4.22655,5.25059,5.08559,4.94905,4.46694,5.29207,5.07281,5.01023,4.6566,5.14618,4.82343,4.89852,4.70809
6/13/23,22.6,429.9,11.99,5.14562,5.01748,4.83566,4.24042,5.24154,5.09261,4.95508,4.47909,5.26715,5.08084,5.0149,4.66716,5.10273,4.83159,4.90111,4.71649
6/15/23,19.35,433.8,12.204,5.14763,5.02438,4.84202,4.25426,5.24938,5.09943,4.96103,4.49113,5.28611,5.08857,5.01979,4.67754,5.14817,4.83986,4.90454,4.72476
6/20/23,21.5,436.66,12.508,5.14699,5.03111,4.84828,4.26811,5.25432,5.10611,4.96699,4.50316,5.29464,5.09606,5.02469,4.68803,5.15873,4.84803,4.90795,4.73321
6/21/23,21.89,437.18,12.56,5.10188,5.03659,4.854,4.28142,5.21811,5.11172,4.97258,4.51478,5.26695,5.10258,5.02925,4.69813,5.15284,4.85634,4.91107,4.74136
6/22/23,21.5,442.6,12.776,5.09059,5.04181,4.85956,4.29458,5.21617,5.11771,4.97808,4.52633,5.28853,5.11089,5.03395,4.70832,5.2194,4.86842,4.91476,4.74986
6/23/23,23.57,439.46,13.056,5.07629,5.04668,4.86494,4.30768,5.20684,5.12395,4.98346,4.53785,5.28937,5.12046,5.03859,4.71847,5.23032,4.88326,4.91847,4.75831
6/26/23,23.89,437.18,12.69,5.07713,5.05154,4.87018,4.32051,5.22025,5.13027,4.98896,4.54922,5.3086,5.12991,5.0435,4.72847,5.26658,4.89783,4.92284,4.76673
6/27/23,20.91,434.94,12.449,5.08247,5.05608,4.87539,4.33331,5.22913,5.13568,4.99449,4.56049,5.31173,5.13744,5.04838,4.73829,5.24977,4.90883,4.92697,4.77478
6/28/23,20.63,436.51,12.2,5.08923,5.06034,4.88061,4.34578,5.24626,5.14107,5.00013,4.57162,5.3345,5.1447,5.05346,4.74806,5.27445,4.91926,4.93127,4.78288
6/29/23,19.59,433.21,12.008,5.08367,5.06439,4.88572,4.35808,5.2387,5.14605,5.00567,4.58258,5.32909,5.15158,5.05839,4.75765,5.2836,4.92962,4.93541,4.79079
6/30/23,16.41,431.44,11.861,5.08731,5.06835,4.89088,4.37025,5.23471,5.15101,5.01117,4.59365,5.32042,5.15877,5.06331,4.7674,5.25769,4.94046,4.93951,4.7989
7/3/23,16.5,436.17,11.649,5.10536,5.0726,4.89626,4.38236,5.23932,5.15616,5.01659,4.60452,5.32433,5.1664,5.06821,4.77692,5.26322,4.95203,4.94375,4.8068
7/5/23,17.08,436.39,11.535,5.10249,5.0763,4.90161,4.39413,5.24187,5.16044,5.02209,4.61506,5.3367,5.17271,5.07343,4.7862,5.29933,4.96206,4.94884,4.81473
7/6/23,19.25,438.11,11.723,5.113,5.07979,4.90708,4.4058,5.24665,5.16441,5.02748,4.6255,5.34588,5.17827,5.07818,4.79543,5.29945,4.97063,4.95281,4.82262
7/7/23,19.51,443.28,11.865,5.14078,5.08369,4.91284,4.41747,5.26836,5.16866,5.03293,4.63593,5.39064,5.18451,5.08276,4.80474,5.39682,4.98091,4.95646,4.83083
7/10/23,19.51,443.79,12.083,5.1424,5.08725,4.91865,4.42896,5.26874,5.17263,5.03834,4.64625,5.38087,5.19014,5.08716,4.81386,5.37154,4.98978,4.95973,4.83878
7/11/23,17.29,443.13,12.309,5.14533,5.09074,4.9245,4.44008,5.27676,5.17681,5.04358,4.65593,5.38174,5.196,5.09132,4.822,5.38481,4.99983,4.96283,4.84561
7/12/23,14.96,439.66,12.719,5.16479,5.09449,4.93053,4.45081,5.2809,5.18106,5.04883,4.66511,5.38146,5.20187,5.09554,4.8296,5.37813,5.00984,4.96596,4.85188
7/13/23,13.31,438.55,12.425,5.17701,5.0981,4.93668,4.46157,5.29847,5.18546,5.0542,4.67437,5.415,5.20835,5.09994,4.83732,5.45445,5.02167,4.96953,4.85834
7/14/23,13.71,439.66,12.236,5.19386,5.10233,4.943,4.47231,5.2995,5.19054,5.05951,4.68353,5.40339,5.21587,5.10406,4.84492,5.4086,5.03495,4.97232,4.8645
7/17/23,13.04,442.46,12.153,5.19643,5.1064,4.94933,4.48291,5.30109,5.19569,5.06477,4.69259,5.40243,5.22349,5.108,4.85242,5.38527,5.04813,4.97452,4.87038
7/18/23,11.65,446.02,12.061,5.20222,5.11007,4.95572,4.49355,5.31105,5.20029,5.06985,4.70165,5.41106,5.23012,5.11183,4.85992,5.38328,5.05961,4.97644,4.87619
7/19/23,11.35,449.56,12.069,5.22164,5.11382,4.9623,4.50434,5.30796,5.20466,5.07482,4.71049,5.3928,5.2362,5.1154,4.8671,5.32653,5.06962,4.97783,4.88148
7/20/23,12.41,449.28,12.1,5.22994,5.1175,4.96899,4.51533,5.30989,5.20863,5.07964,4.71944,5.37554,5.24128,5.1185,4.87414,5.25401,5.07698,4.97815,4.8861
7/21/23,12.07,450.84,12.204,5.24611,5.12162,4.9757,4.52638,5.32012,5.21384,5.08437,4.72833,5.39635,5.24867,5.12151,4.88116,5.29292,5.08781,4.97843,4.89067
7/24/23,11.33,454.19,12.571,5.25457,5.12584,4.9822,4.53742,5.32614,5.21891,5.0889,4.73713,5.40044,5.25611,5.12443,4.88811,5.30049,5.09945,4.97874,4.89524
7/25/23,10.83,455.2,13.058,5.26357,5.13011,4.98866,4.54857,5.33352,5.22481,5.09333,4.74604,5.39914,5.26518,5.12712,4.8952,5.2858,5.1141,4.97869,4.90004
7/26/23,10.3,452.18,13.029,5.29134,5.13483,4.99492,4.55993,5.34557,5.23028,5.09772,4.75497,5.4126,5.27323,5.12969,4.90257,5.3092,5.12724,4.97845,4.90552
7/27/23,11.96,452.18,12.682,5.29799,5.13971,5.0013,4.57121,5.35121,5.23562,5.1023,4.76376,5.42843,5.28118,5.13248,4.90976,5.3615,5.14049,4.97871,4.91098
